"varresp_ini";"varresp_fim";"qt_sem_hist";"historico_ini";"historico_fim";"retorno_esp_modelo";"retorno_real"
"14/12/2015";"18/12/2015";2;"30/11/2015";"11/12/2015";2,19874569418432;-6,48305413198807
"21/12/2015";"25/12/2015";15;"07/09/2015";"18/12/2015";0,345218733434084;-0,783624232077474
"21/12/2015";"25/12/2015";14;"14/09/2015";"18/12/2015";0,159485584020692;-0,700564730400758
"21/12/2015";"25/12/2015";13;"21/09/2015";"18/12/2015";0,962942947720619;-1,3984330012367
"21/12/2015";"25/12/2015";12;"28/09/2015";"18/12/2015";0,358793028167109;-0,937620632488068
"21/12/2015";"25/12/2015";11;"05/10/2015";"18/12/2015";0,299944714110554;-0,695025812235503
"21/12/2015";"25/12/2015";10;"12/10/2015";"18/12/2015";0,101808528484658;-0,626107953581043
"21/12/2015";"25/12/2015";9;"19/10/2015";"18/12/2015";0,229771492387761;-0,816421091490964
"21/12/2015";"25/12/2015";8;"26/10/2015";"18/12/2015";-0,0782596848052799;0,077718156752012
"21/12/2015";"25/12/2015";7;"02/11/2015";"18/12/2015";0,216167040351565;0,283005370471176
"21/12/2015";"25/12/2015";6;"09/11/2015";"18/12/2015";-0,122920541534001;0,285025570473885
"21/12/2015";"25/12/2015";5;"16/11/2015";"18/12/2015";-0,0270410724343259;0,278935262225207
"21/12/2015";"25/12/2015";4;"23/11/2015";"18/12/2015";-0,353713123419002;0,239305034949845
"21/12/2015";"25/12/2015";3;"30/11/2015";"18/12/2015";1,14623733001841;-0,648284001419536
